id	filename	md5	size	state
0000b231-7c05-4e2e-8c9e-6d0675bfbb34	TCGA-55-8514-01A-01-TS1.0e0f5cf3-96e9-4a35-aaed-4340df78d389.svs	4a4235435f84b56885c48a1051b9824a	85417075	live
00418e43-0d38-4877-b800-561a894e8cc8	TCGA-22-5477-01A-01-TS1.25b8da50-db12-479d-98ff-da2eaa25cb69.svs	c7dbe37f2613fdb74f96bf5dbc84fc01	150283725	live
004699c4-04b9-4e58-8c32-15045dfbfdde	TCGA-18-3407-01A-01-TS1.eb6d8014-eaf9-4679-955f-8ad4c5205850.svs	8f03cd2c1a2ffb6a76527fabb3616c8a	24172817	live
00509886-8a6f-446e-991d-261cd6ac7d30	TCGA-50-5066-01A-01-TS1.0c7e8ed4-7458-4e11-93fb-46df485c414f.svs	fab82f88a2818bafaf56a8625f354eb9	247461265	live
0085dfb6-f8e0-4caf-b0d1-ee3d31f92d7d	TCGA-95-A4VK-01A-01-TSA.29579482-F5BF-4A43-A763-D66BD51FE01C.svs	4431a5ee99d8960c340da5a7f640c5ef	214552067	live
00c8b871-ccda-49c2-a4bf-9fab3afcbb8c	TCGA-44-7672-11A-01-TS1.56f18fbf-350e-49a7-8bba-6246617bc001.svs	3541434faea73b29ca44dd99bbb5f5ad	479764269	live
00cd4e29-396d-4d42-9d42-1c67afdd8e6c	TCGA-05-4398-01A-01-TS1.061af2c7-1143-430d-8286-1996405ab057.svs	19f1bdbe2eeab38f01f8ae08f6a2cd37	112679275	live
00dffe7c-c5ee-4636-a069-9a60642f2fb1	TCGA-63-7023-01A-01-BS1.cf277f61-7e00-476e-9e1b-820dc885cf51.svs	df0ec4cb0eb3ea7e47267cc2b39c27de	72879117	live
01596865-71e0-4d4c-8986-83ced747673f	TCGA-51-4081-01A-01-BS1.e1b79437-906c-4571-988b-46b237ed8a86.svs	3bcd9b8fc9bc4b58858822dfcc1aeea3	32875531	live
0163b93f-e53b-47f8-8175-832216d6c1c2	TCGA-43-2576-11A-01-TS1.a11717f9-f106-4d2a-92fc-71a9f0d15fd1.svs	80019bbfcaa9815a1e156c8b7b1333ec	58541013	live
0181c665-50d5-47c7-b25a-66858c6cc437	TCGA-93-A4JQ-01A-01-TSA.AF3ED215-95C2-4130-9D72-078078390ECD.svs	1d8d45b3ef36fa8f527fd9952b7f7efc	148215691	live
01997852-86f6-410d-8a82-54aff91a7a1e	TCGA-55-8615-11A-01-TS1.0adda36d-9ed7-4a75-87a6-f91a712fe61c.svs	e6f8ce7a06ee9177ab4a684c898ed7be	230228857	live
